233;SYR PAR;Syrrhaptes paradoxus; ;Arokyyhky;Stäppflyghöna;Pallas's Sandgrouse;30;0
234;COL LIV;Columba livia;C;Kalliokyyhky;Klippduva;Rock Dove;31;0
235;COL OEN;Columba oenas; ;Uuttukyyhky;Skogsduva;Stock Dove;31;0
236;COL PAL;Columba palumbus; ;Sepelkyyhky;Ringduva;Common Woodpigeon;31;0
237;STR DEC;Streptopelia decaocto; ;Turkinkyyhky;Turkduva;Eurasian Collared Dove;31;0
238;STR TUR;Streptopelia turtur; ;Turturikyyhky;Turturduva;European Turtle Dove;31;0
239;STR ORI;Streptopelia orientalis; ;Idänturturikyyhky;Större turturduva;Oriental Turtle Dove;31;0
240;CLA GLA;Clamator glandarius;B;Harakkakäki;Skatgök;Great Spotted Cuckoo;32;0
241;CUC CAN;Cuculus canorus; ;Käki;Gök;Common Cuckoo;32;0
242;TYT ALB;Tyto alba; ;Tornipöllö;Tornuggla;Barn Owl;33;0
243;BUB BUB;Bubo bubo; ;Huuhkaja;Berguv;Eurasian Eagle Owl;34;0
244;BUB SCA;Bubo scandiacus; ;Tunturipöllö;Fjälluggla;Snowy Owl;34;0
245;SUR ULU;Surnia ulula; ;Hiiripöllö;Hökuggla;Northern Hawk Owl;34;0
246;GLA PAS;Glaucidium passerinum; ;Varpuspöllö;Sparvuggla;Eurasian Pygmy Owl;34;0
247;ATH NOC;Athene noctua; ;Minervanpöllö;Minervauggla;Little Owl;34;0
248;STR ALU;Strix aluco; ;Lehtopöllö;Kattuggla;Tawny Owl;34;0
249;STR URA;Strix uralensis; ;Viirupöllö;Slaguggla;Ural Owl;34;0
250;STR NEB;Strix nebulosa; ;Lapinpöllö;Lappuggla;Great Grey Owl;34;0
251;ASI OTU;Asio otus; ;Sarvipöllö;Hornuggla;Long-eared Owl;34;0
252;ASI FLA;Asio flammeus; ;Suopöllö;Jorduggla;Short-eared Owl;34;0
253;AEG FUN;Aegolius funereus; ;Helmipöllö;Pärluggla;Tengmalm's Owl;34;0
254;CAP EUR;Caprimulgus europaeus; ;Kehrääjä;Nattskärra;European Nightjar;35;0
255;HIR CAU;Hirundapus caudacutus; ;Piikkipyrstökiitäjä;Taggstjärtseglare;White-throated Needletail Swift;36;0
256;APU APU;Apus apus;;Tervapääsky;Tornseglare;Common Swift;36;0
257;APU PAL;Apus pallidus;;Vaaleakiitäjä;Blek tornseglare;Pallid Swift;36;0
258;APU MEL;Apus melba;;Alppikiitäjä;Alpseglare;Alpine Swift;36;0
259;APU CAF;Apus caffer; ;Kafferikiitäjä;Kafferseglare;White-rumped Swift;36;0
260;ALC ATT;Alcedo atthis; ;Kuningaskalastaja;Kungsfiskare;Common Kingfisher;37;0
261;MER PER;Merops persicus; ;Vihermehiläissyöjä;Grön biätare;Blue-cheeked Bee-eater;38;0
262;MER API;Merops apiaster; ;Mehiläissyöjä;Biätare;European Bee-eater;38;0
263;COR GAR;Coracias garrulus; ;Sininärhi;Blåkråka;European Roller;39;0
264;UPU EPO;Upupa epops; ;Harjalintu;Härfågel;Eurasian Hoopoe;40;0
265;JYN TOR;Jynx torquilla; ;Käenpiika;Göktyta;Eurasian Wryneck;41;0
266;PIC CAN;Picus canus; ;Harmaapäätikka;Gråspett;Grey-headed Woodpecker;41;0
267;PIC VIR;Picus viridis; ;Vihertikka;Gröngöling;European Green Woodpecker;41;0
268;DRY MAR;Dryocopus martius; ;Palokärki;Spillkråka;Black Woodpecker;41;0
269;DEN MAJ;Dendrocopos major; ;Käpytikka;Större hackspett;Great Spotted Woodpecker;41;0
270;DEN LEU;Dendrocopos leucotos; ;Valkoselkätikka;Vitryggig hackspett;White-backed Woodpecker;41;0
271;DEN MIN;Dendrocopos minor; ;Pikkutikka;Mindre hackspett;Lesser Spotted Woodpecker;41;0
272;PIC TRI;Picoides tridactylus; ;Pohjantikka;Tretåig hackspett;Three-toed Woodpecker;41;0
273;MEL CAL;Melanocorypha calandra; ;Arokiuru;Kalanderlärka;Calandra Lark;42;0
274;MEL BIM;Melanocorypha bimaculata; ;Ylänkökiuru;Asiatisk kalanderlärka;Bimaculated Lark;42;0
275;MEL LEU;Melanocorypha leucoptera; ;Valkosiipikiuru;Vitvingad lärka;White-winged Lark;42;0
